2025-04-13 12:13:50,922 - Training data: 17495 rows
2025-04-13 12:13:57,396 - Training PPO on EURUSD at 2025-04-13 12:13:57.386858+05:30
2025-04-13 12:31:27,570 - Rollout 147456: ep_rew_mean = -0.0008, actions = {0: 1789, 1: 178, 2: 81}, action_pct = {0: 87.353515625, 1: 8.69140625, 2: 3.955078125}
2025-04-13 12:31:53,399 - Rollout 149504: ep_rew_mean = 0.0022, actions = {0: 1817, 1: 162, 2: 69}, action_pct = {0: 88.720703125, 1: 7.91015625, 2: 3.369140625}
2025-04-13 12:32:15,466 - Rollout 151552: ep_rew_mean = 0.0017, actions = {0: 1788, 1: 181, 2: 79}, action_pct = {0: 87.3046875, 1: 8.837890625, 2: 3.857421875}
2025-04-13 12:32:37,319 - Rollout 153600: ep_rew_mean = -0.0007, actions = {0: 1826, 1: 160, 2: 62}, action_pct = {0: 89.16015625, 1: 7.8125, 2: 3.02734375}
2025-04-13 12:32:56,646 - Rollout 155648: ep_rew_mean = -0.0058, actions = {0: 1872, 1: 118, 2: 58}, action_pct = {0: 91.40625, 1: 5.76171875, 2: 2.83203125}
2025-04-13 12:33:09,660 - Rollout 157696: ep_rew_mean = 0.0009, actions = {0: 1832, 1: 170, 2: 46}, action_pct = {0: 89.453125, 1: 8.30078125, 2: 2.24609375}
2025-04-13 12:33:15,183 - Rollout 159744: ep_rew_mean = 0.0014, actions = {0: 1869, 1: 149, 2: 30}, action_pct = {0: 91.259765625, 1: 7.275390625, 2: 1.46484375}
2025-04-13 12:33:20,896 - Rollout 161792: ep_rew_mean = 0.0052, actions = {0: 1889, 1: 123, 2: 36}, action_pct = {0: 92.236328125, 1: 6.005859375, 2: 1.7578125}
2025-04-13 12:33:27,246 - Rollout 163840: ep_rew_mean = 0.0012, actions = {0: 1840, 1: 194, 2: 14}, action_pct = {0: 89.84375, 1: 9.47265625, 2: 0.68359375}
2025-04-13 12:33:33,160 - Rollout 165888: ep_rew_mean = -0.0001, actions = {0: 1838, 1: 169, 2: 41}, action_pct = {0: 89.74609375, 1: 8.251953125, 2: 2.001953125}
2025-04-13 12:33:39,849 - Rollout 167936: ep_rew_mean = 0.0018, actions = {0: 1790, 1: 218, 2: 40}, action_pct = {0: 87.40234375, 1: 10.64453125, 2: 1.953125}
2025-04-13 12:34:02,640 - Rollout 169984: ep_rew_mean = -0.0108, actions = {0: 1830, 1: 174, 2: 44}, action_pct = {0: 89.35546875, 1: 8.49609375, 2: 2.1484375}
