2025-04-12 08:38:04,535 - Rollout 190464: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 0, 2: 2}
2025-04-12 08:38:11,384 - Rollout 192512: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:38:17,806 - Rollout 194560: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:38:24,414 - Rollout 196608: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:38:30,784 - Rollout 198656: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:38:36,834 - Rollout 200704: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:38:43,167 - Rollout 202752: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:38:49,655 - Rollout 204800: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:38:56,153 - Rollout 206848: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:39:02,523 - Rollout 208896: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:39:08,968 - Rollout 210944: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:39:15,319 - Rollout 212992: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:39:21,713 - Rollout 215040: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:39:28,204 - Rollout 217088: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:39:34,653 - Rollout 219136: ep_rew_mean = 0.0500, actions = {0: 2046, 1: 0, 2: 2}
2025-04-12 08:39:40,823 - Rollout 221184: ep_rew_mean = 0.0500, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:39:47,003 - Rollout 223232: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 0, 2: 2}
2025-04-12 08:39:53,733 - Rollout 225280: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:39:59,969 - Rollout 227328: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:40:05,784 - Rollout 229376: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:40:12,222 - Rollout 231424: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:40:18,453 - Rollout 233472: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:40:24,389 - Rollout 235520: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:40:30,591 - Rollout 237568: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:40:36,702 - Rollout 239616: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:40:43,158 - Rollout 241664: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:40:49,102 - Rollout 243712: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:40:54,993 - Rollout 245760: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:01,585 - Rollout 247808: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:07,727 - Rollout 249856: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:13,992 - Rollout 251904: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:20,192 - Rollout 253952: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:26,313 - Rollout 256000: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:32,532 - Rollout 258048: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:38,392 - Rollout 260096: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:44,626 - Rollout 262144: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:50,986 - Rollout 264192: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:41:57,377 - Rollout 266240: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
